"attacking_team","is_home","defending_team","shot_dist","dist_to_goal","shot_angle","body_part","shot_technique","shot_type","teammates_in_frame","opponents_in_frame","closest_opponent_dist","goalkeeper_dist","opponents_in_penalty_area","opponents_in_goal_area","opponents_in_shot_path","is_penalty","is_goal"
"AC Milan",1,"Chievo",10.0284595028349,10.4355162785557,40.4485741372601,"Head","Normal","Open Play",4,8,0.538516480713451,8.65852181379709,5,1,1,0,0
"Chievo",0,"AC Milan",29.177045772319,26.9091062653519,16.9046497543092,"Right Foot","Normal","Open Play",3,7,1.99248588451713,23.3002145912865,1,1,1,0,0
"AC Milan",1,"Chievo",25.8306020061477,20.8607286545796,15.8742410226603,"Left Foot","Normal","Open Play",4,8,2.24722050542442,16.9035499230191,5,1,1,0,0
"AC Milan",1,"Chievo",2.43515913237718,20.0927847746399,20.9959088029348,"Right Foot","Normal","Open Play",5,9,3.10161248385416,16.0962728605103,8,1,3,0,0
"AC Milan",1,"Chievo",8.24621125123532,9.65194280961092,39.6738501596116,"Head","Normal","Open Play",4,10,0.707106781186542,6.84470598345904,7,1,1,0,0
"Chievo",0,"AC Milan",7.30821455623738,10.4355162785557,40.4485741372601,"Head","Normal","Open Play",5,11,0.800000000000004,8.1320354155648,9,1,1,0,0
"AC Milan",1,"Chievo",2.69258240356725,28.7628232272147,13.3679896640385,"Right Foot","Normal","Open Play",7,11,3.44818792991333,26.060122793264,9,1,3,0,0
"AC Milan",1,"Chievo",27.4803566206845,23.546761985462,13.8545794210919,"Right Foot","Normal","Open Play",7,11,4.06078810084938,19.376790239872,11,2,3,0,0
"AC Milan",1,"Chievo",22.8035085019828,25.5853473691486,16.139306333478,"Left Foot","Normal","Open Play",5,8,1.78044938147648,22.6927301134086,2,1,1,0,0
"AC Milan",1,"Chievo",7.51797845168499,8.40119039184329,50.5802072629306,"Head","Normal","Open Play",7,11,0.447213595499948,6.8680419334771,11,1,3,0,0
"AC Milan",1,"Chievo",18.7779125570442,15.8619040471187,19.795431649454,"Right Foot","Normal","Open Play",4,9,2.98328677803525,11.9519872824564,8,1,2,0,1
"AC Milan",1,"Chievo",3.69999999999999,9.94786409235671,39.6694380574404,"Right Foot","Half Volley","Open Play",7,10,0.721110255092794,4.08044115262063,9,3,3,0,0
"AC Milan",1,"Chievo",54.8014598345701,15.9423963067037,10.2811334328071,"Right Foot","Half Volley","Open Play",6,11,3.04630924234557,11.7392504019635,9,4,2,0,0
"AC Milan",1,"Chievo",21.3412745636243,24.1671264324081,18.7475587670696,"Left Foot","Normal","Open Play",4,8,4.48218696620299,21.1853723120459,5,1,2,0,0
"AC Milan",1,"Chievo",7.00642562224134,22.7107903869504,19.644382396496,"Right Foot","Normal","Open Play",4,7,5.04777178564959,18.5690602885553,6,1,2,0,0
"AC Milan",1,"Chievo",23.8849324889144,22.2925996689484,20.0993311861383,"Right Foot","Normal","Open Play",4,9,5.34602656184947,17.7290721697443,5,1,2,0,0
